Alta Floresta,Mato Grosso,49761
Nova Venécia,Espírito Santo,49564
Jaguariúna,São Paulo,49497
Eusébio,Ceará,49455
Macaúbas,Bahia Bahia,49436
São Joaquim da Barra,São Paulo,49259
Humaitá,Amazonas,49137
Nova Andradina,Mato Grosso do Sul,49104
Lagoa da Prata,Minas Gerais,49089
Bocaiuva,Minas Gerais,48974
Rondon do Pará,Pará Pará,48959
Monte Alto,São Paulo,48907
Jales,São Paulo,48724
Paracambi,Rio de Janeiro,48705
Itabirito,Minas Gerais,48614
Poções,Bahia Bahia,48576
Artur Nogueira,São Paulo,48420
Cornélio Procópio,Paraná,48420
Bom Despacho,Minas Gerais,48350
Xique-Xique,Bahia Bahia,48100
Sidrolândia,Mato Grosso do Sul,48027
Lago da Pedra,Maranhão,48002
Brejo da Madre de Deus,Pernambuco,47972
Coelho Neto,Maranhão,47821
Paraíso do Tocantins,Tocantins,47724
Diamantina,Minas Gerais,47647
Monte Carmelo,Minas Gerais,47595
Santos Dumont,Minas Gerais,47557
João Pinheiro,Minas Gerais,47549
Capão Bonito,São Paulo,47510
Santana do Ipanema,Alagoas,47352
Bom Conselho,Pernambuco,47273
Brejo Santo,Ceará,47218
Ipiaú,Bahia Bahia,47178
Rio Grande da Serra,São Paulo,47142
Lapa,Paraná,47023
Vargem Grande Paulista,São Paulo,47013
Xanxerê,Santa Catarina,46981
Aquidauana,Mato Grosso do Sul,46830
Atalaia,Alagoas,46787
São Francisco do Sul,Santa Catarina,46477
Palmas,Paraná,46294
São Gonçalo do Amarante,Ceará,46247
Conceição do Araguaia,Pará Pará,46206
Ribeirão,Pernambuco,46200
Quirinópolis,Goiás,46187
Santa Cruz do Rio Pardo,São Paulo,46092
Presidente Dutra,Maranhão,46039
Campo Maior,Piauí,45827
Barras,Piauí,45786
Guajará-Mirim,Rondônia,45761
Capão da Canoa,Rio Grande do Sul,45744
Maragogipe,Bahia Bahia,45740
São Benedito,Ceará,45653
Mauriti,Ceará,45640
Estância Velha,Rio Grande do Sul,45500
Mairinque,São Paulo,45436
Dracena,São Paulo,45346
Jaraguá,Goiás,45291
Livramento de Nossa Senhora,Bahia Bahia,45236
Cabreúva,São Paulo,45112
São Sebastião do Passé,Bahia Bahia,45090
Tramandaí,Rio Grande do Sul,45079
Seabra,Bahia Bahia,44765
Santo Antônio da Platina,Paraná,44754
Uruará,Pará Pará,44731
Niquelândia,Goiás,44540
Mata de São João,Bahia Bahia,44538
Currais Novos,Rio Grande do Norte,44528
Pedreira,São Paulo,44509
Iranduba,Amazonas,44503
São Lourenço do Sul,Rio Grande do Sul,44498
Garça,São Paulo,44479
Rurópolis,Pará Pará,44349
Araioses,Maranhão,44317
Paraguaçu Paulista,São Paulo,44310
Porangatu,Goiás,44265
Pontal,São Paulo,44236
Medianeira,Paraná,44149
Pederneiras,São Paulo,44073
São Lourenço,Minas Gerais,44037
Laguna,Santa Catarina,43979
Barra de São Francisco,Espírito Santo,43882
Tremembé,São Paulo,43871
Laranjal do Jari,Amapá,43832
Morrinhos,Goiás,43792
São Mateus do Sul,Paraná,43750
Mamanguape,Paraíba,43678
Espírito Santo do Pinhal,São Paulo,43611
Teotônio Vilela,Alagoas,43605
Mombaça,Ceará,43493
Cerquilho,São Paulo,43473
União,Piauí,43403
Santa Quitéria,Ceará,43358
Osório,Rio Grande do Sul,43256
Presidente Epitácio,São Paulo,43155
Pacajá,Pará Pará,43057
Sirinhaém,Pernambuco,43036
Caeté,Minas Gerais,43036
São Bento,Maranhão,42867
Salto de Pirapora,São Paulo,42710
Pedra Branca,Ceará,42643
Entre Rios,Bahia Bahia,42640
Pontes e Lacerda,Mato Grosso,42605
Augusto Corrêa,Pará Pará,42591
Queimadas,Paraíba,42586
São José de Mipibu,Rio Grande do Norte,42345
Nova Viçosa,Bahia Bahia,42265
Imbituba,Santa Catarina,42244
Xinguara,Pará Pará,42085
Orlândia,São Paulo,42020
Águas Belas,Pernambuco,42008
Barreiros,Pernambuco,41987
Paraíba do Sul,Rio de Janeiro,41955
Itápolis,São Paulo,41920
Nanuque,Minas Gerais,41876
Remanso,Bahia Bahia,41824
Santa Maria da Vitória,Bahia Bahia,41824
Serrana,São Paulo,41728
Louveira,São Paulo,41700
Canela,Rio Grande do Sul,41682
Lábrea,Amazonas,41600
Santo Antônio da Patrulha,Rio Grande do Sul,41579
São Gabriel da Cachoeira,Amazonas,41575
Vera Cruz,Bahia Bahia,41524
Jacareacanga,Pará Pará,41487
São Francisco de Itabapoana,Rio de Janeiro,41397
Vargem Grande do Sul,São Paulo,41279
Baião,Pará Pará,41232
Amontada,Ceará,41227
Paranaíba,Mato Grosso do Sul,41227
Ipu,Ceará,41190
Oliveira,Minas Gerais,41181
Rio Negrinho,Santa Catarina,41167
Maracaju,Mato Grosso do Sul,41099
Santa Helena,Maranhão,41081
Campina Grande do Sul,Paraná,41060
Santo Antônio de Pádua,Rio de Janeiro,41035
Rosário,Maranhão,40983
Salinas,Minas Gerais,40942
Santa Maria da Boa Vista,Pernambuco,40908
Rosário do Sul,Rio Grande do Sul,40825
Itabaianinha,Sergipe,40821
Machado,Minas Gerais,40760
Almenara,Minas Gerais,40749
Sento Sé,Bahia Bahia,40720
Jardinópolis,São Paulo,40640
Jeremoabo,Bahia Bahia,40587
Ituverava,São Paulo,40552
Panambi,Rio Grande do Sul,40439
Santa Rita do Sapucaí,Minas Gerais,40435
Visconde do Rio Branco,Minas Gerais,40356
Catende,Pernambuco,40328
Sena Madureira,Acre,40311
Tuntum,Maranhão,40273
Jacarezinho,Paraná,40221
Rio Real,Bahia Bahia,40203
Simão Dias,Sergipe,40199
Bom Jardim,Maranhão,40134
Ouro Preto do Oeste,Rondônia,40099
São Mateus do Maranhão,Maranhão,40095
São Manuel,São Paulo,40027
